"","id","especie","ultima_modificacion","altura","circ_tronco_cm","diametro_tronco","long","lat","seccion","nombre_seccion","area_seccion","inclinacion_peligrosa","circ_tronco_cm_cat"
"2227",3359,"Morera","04/10/2011 09:58","Alto (> 8 mts)",138,"Grande",-68.8351222772,-32.8794907691,1,"Parque Central",1655357.93265,"1","medio"
"10432",16082,"Paraiso","21/07/2011 10:29","Alto (> 8 mts)",110,"Grande",-68.8443767374,-32.8725728568,6,"Residencial Norte",2694682.37982,"0","medio"
"17698",26954,"Morera","01/11/2011 16:37","Medio (4 - 8 mts)",190,"Grande",-68.8367746027,-32.8871354969,3,"Parque O'Higgins",1531146.02653,"1","alto"
"16458",25037,"Fresno europeo","15/02/2011 08:26","Medio (4 - 8 mts)",83,"Grande",-68.8364522404,-32.8968155413,2,"Barrio Civico",2366816.36021,"0","medio"
"31684",48072,"Olmo comun","29/09/2011 13:53","Alto (> 8 mts)",170,"Grande",-68.8271640406,-32.8667519775,4,"Cuarta Este Área Fundacional",1822015.85685,"0","alto"
"1482",2254,"Fresno europeo","28/10/2011 10:12","Muy bajo (1 - 2 mts)",15,"Chico",-68.838223731,-32.8912775569,3,"Parque O'Higgins",1531146.02653,"0","bajo"
"26600",40239,"Morera","14/04/2011 11:59","Alto (> 8 mts)",120,"Grande",-68.8452406037,-32.8819581023,1,"Parque Central",1655357.93265,"0","medio"
"299",465,"Morera","07/03/2012 11:08","Alto (> 8 mts)",185,"Grande",-68.8216020223,-32.8685321754,4,"Cuarta Este Área Fundacional",1822015.85685,"0","alto"
"5750",8828,"Acer","01/02/2011 13:40","Muy bajo (1 - 2 mts)",10,"Chico",-68.8545413803,-32.8680740847,6,"Residencial Norte",2694682.37982,"0","bajo"
"12766",19593,"Fresno americano","11/07/2011 10:05","Alto (> 8 mts)",127,"Grande",-68.8358767255,-32.8716439057,4,"Cuarta Oeste",1173332.70145,"0","medio"
"4551",6973,"Pltano","01/06/2011 11:25","Alto (> 8 mts)",123,"Grande",-68.8617505106,-32.8968225191,5,"Residencial Sur",2423808.92355,"0","medio"
"12942",19858,"Morera","30/06/2011 09:17","Alto (> 8 mts)",147,"Grande",-68.8337188839,-32.8629249682,4,"Cuarta Oeste",1173332.70145,"0","medio"
"3954",6082,"Conifera","19/04/2011 11:30","Medio (4 - 8 mts)",33,"Mediano",-68.8429162348,-32.8841490036,1,"Parque Central",1655357.93265,"0","bajo"
"17381",26473,"Acacia SP","09/11/2011 09:49","Medio (4 - 8 mts)",93,"Grande",-68.8317521586,-32.8913824801,3,"Parque O'Higgins",1531146.02653,"0","medio"
"11414",17591,"Morera","19/07/2011 11:10","Alto (> 8 mts)",200,"Grande",-68.8428165769,-32.866726734,4,"Cuarta Oeste",1173332.70145,"0","alto"
"2290",3455,"Paraiso","19/08/2011 10:43","Medio (4 - 8 mts)",86,"Grande",-68.8274053225,-32.8685222024,4,"Cuarta Este Área Fundacional",1822015.85685,"0","medio"
"21862",33182,"Morera","08/06/2011 11:36","Alto (> 8 mts)",100,"Grande",-68.8544698362,-32.8915077324,5,"Residencial Sur",2423808.92355,"1","medio"
"3716",5715,"Morera","04/05/2011 13:18","Bajo (2 - 4 mts)",23,"Mediano",-68.8408248819,-32.8788711965,1,"Parque Central",1655357.93265,"0","bajo"
"9798",15064,"lamo blanco","17/11/2011 12:43","Alto (> 8 mts)",180,"Grande",-68.858177702,-32.8692175893,6,"Residencial Norte",2694682.37982,"0","alto"
"18243",27792,"Morera","03/11/2011 10:02","Alto (> 8 mts)",115,"Grande",-68.8348385907,-32.895354395,3,"Parque O'Higgins",1531146.02653,"1","medio"
"14211",21703,"Acer","09/06/2011 11:39","Medio (4 - 8 mts)",28,"Mediano",-68.8568938583,-32.8957408602,5,"Residencial Sur",2423808.92355,"0","bajo"
"27932",42311,"Morera","03/05/2011 12:19","Alto (> 8 mts)",120,"Grande",-68.8418220558,-32.8729301299,4,"Cuarta Oeste",1173332.70145,"0","medio"
"7914",12058,"Morera","04/02/2010 13:46","Bajo (2 - 4 mts)",76,"Grande",-68.8527732626,-32.8672236639,6,"Residencial Norte",2694682.37982,"0","bajo"
"8595",13124,"Morera","17/02/2011 12:45","Alto (> 8 mts)",200,"Grande",-68.8455215706,-32.8652469955,4,"Cuarta Oeste",1173332.70145,"0","alto"
"7477",11414,"Fresno europeo","28/01/2011 13:45","Alto (> 8 mts)",114,"Grande",-68.8513915896,-32.9007147843,2,"Barrio Civico",2366816.36021,"0","medio"
"11999",18454,"Morera","11/07/2011 09:43","Alto (> 8 mts)",170,"Grande",-68.8397648185,-32.8735293021,4,"Cuarta Oeste",1173332.70145,"0","alto"
"14368",21944,"Morera","02/06/2011 13:20","Alto (> 8 mts)",93,"Grande",-68.858060817,-32.8941266529,5,"Residencial Sur",2423808.92355,"0","medio"
"27150",41081,"Pltano","28/04/2011 12:01","Alto (> 8 mts)",168,"Grande",-68.8382567418,-32.8839253654,3,"Parque O'Higgins",1531146.02653,"0","alto"
"9298",14241,"Acer","07/12/2011 10:04","Bajo (2 - 4 mts)",35,"Mediano",-68.8775675264,-32.8667670829,8,"Aeroparque",2203364.73622,"0","bajo"
"24681",37355,"Pltano","29/11/2010 11:36","Alto (> 8 mts)",80,"Grande",-68.8582929237,-32.8717002645,6,"Residencial Norte",2694682.37982,"0","bajo"
"23053",34941,"Fresno europeo","04/04/2011 12:20","Muy bajo (1 - 2 mts)",10,"Chico",-68.856720769,-32.8793265736,7,"Residencial Parque",1786336.08966,"0","bajo"
"12627",19385,"Pltano","04/07/2011 10:51","Alto (> 8 mts)",200,"Grande",-68.8347264021,-32.8724213276,4,"Cuarta Oeste",1173332.70145,"0","alto"
"31469",47737,"Morera","15/09/2011 09:47","Medio (4 - 8 mts)",67,"Grande",-68.8291770246,-32.8727176532,4,"Cuarta Este Área Fundacional",1822015.85685,"0","bajo"
"30940",46925,"Fresno europeo","07/09/2011 10:49","Bajo (2 - 4 mts)",30,"Mediano",-68.8322788279,-32.8707278661,4,"Cuarta Este Área Fundacional",1822015.85685,"0","bajo"
"14995",22860,"Pltano","10/05/2011 10:30","Alto (> 8 mts)",92,"Grande",-68.8569171739,-32.9015995632,5,"Residencial Sur",2423808.92355,"0","medio"
"29403",44603,"Fresno europeo","19/10/2011 10:27","Bajo (2 - 4 mts)",20,"Chico",-68.8345604099,-32.8859670605,3,"Parque O'Higgins",1531146.02653,"0","bajo"
"3859",5930,"Morera","02/05/2011 11:27","Alto (> 8 mts)",185,"Grande",-68.8450077223,-32.8761512664,1,"Parque Central",1655357.93265,"0","alto"
"6334",9661,"Acacia SP","25/01/2011 11:10","Bajo (2 - 4 mts)",30,"Mediano",-68.8490955339,-32.8641571196,6,"Residencial Norte",2694682.37982,"0","bajo"
"2613",3988,"Morera","23/09/2011 11:52","Medio (4 - 8 mts)",100,"Grande",-68.8307429042,-32.8777273442,4,"Cuarta Este Área Fundacional",1822015.85685,"0","medio"
"27865",42184,"Morera","06/05/2011 10:25","Alto (> 8 mts)",160,"Grande",-68.840342366,-32.873942836,1,"Parque Central",1655357.93265,"0","medio"
"5831",8948,"Morera","21/01/2011 10:05","Medio (4 - 8 mts)",80,"Grande",-68.8482338834,-32.8663376215,6,"Residencial Norte",2694682.37982,"0","bajo"
"17214",26230,"Fresno europeo","19/10/2011 09:57","Bajo (2 - 4 mts)",44,"Mediano",-68.8302117433,-32.8884303347,3,"Parque O'Higgins",1531146.02653,"0","bajo"
"24520",37101,"Morera","06/04/2011 13:58","Alto (> 8 mts)",160,"Grande",-68.85900284,-32.8765653104,7,"Residencial Parque",1786336.08966,"1","medio"
"22137",33591,"Acacia SP","16/05/2011 10:34","Medio (4 - 8 mts)",145,"Grande",-68.8552206198,-32.8867172838,5,"Residencial Sur",2423808.92355,"0","medio"
"13919",21273,"Morera","13/06/2011 12:44","Alto (> 8 mts)",130,"Grande",-68.8525760794,-32.8960974899,5,"Residencial Sur",2423808.92355,"0","medio"
"28615",43372,"Morera","25/10/2011 17:04","Medio (4 - 8 mts)",130,"Grande",-68.8337365,-32.8806219081,3,"Parque O'Higgins",1531146.02653,"0","medio"
"16567",25222,"Paraiso","09/02/2011 09:45","Medio (4 - 8 mts)",56,"Mediano",-68.8372290926,-32.8977304317,2,"Barrio Civico",2366816.36021,"0","bajo"
"17552",26745,"Morera","11/01/2012 12:55","Alto (> 8 mts)",185,"Grande",-68.8340933871,-32.8950825398,3,"Parque O'Higgins",1531146.02653,"0","alto"
"21224",32215,"Morera","10/05/2011 09:46","Medio (4 - 8 mts)",160,"Grande",-68.8597608777,-32.8856749614,5,"Residencial Sur",2423808.92355,"0","medio"
"25437",38458,"Paraiso","03/11/2010 12:30","Alto (> 8 mts)",80,"Grande",-68.8514846286,-32.8692639637,6,"Residencial Norte",2694682.37982,"0","bajo"
"29803",45202,"Fresno europeo","28/09/2011 10:39","Alto (> 8 mts)",160,"Grande",-68.8232567899,-32.8724971698,4,"Cuarta Este Área Fundacional",1822015.85685,"0","medio"
"1920",2922,"Olmo comun","19/09/2011 10:51","Medio (4 - 8 mts)",110,"Grande",-68.8216869178,-32.8722908101,4,"Cuarta Este Área Fundacional",1822015.85685,"0","medio"
"6240",9527,"Ligustro","04/02/2011 10:45","Muy bajo (1 - 2 mts)",6,"Chico",-68.8540859715,-32.8636694181,6,"Residencial Norte",2694682.37982,"0","bajo"
"29569",44855,"Morera","19/08/2011 13:32","Alto (> 8 mts)",135,"Grande",-68.8245154878,-32.866538383,4,"Cuarta Este Área Fundacional",1822015.85685,"0","medio"
"21970",33341,"Morera","23/05/2011 08:46","Medio (4 - 8 mts)",97,"Grande",-68.8572388296,-32.8911884792,5,"Residencial Sur",2423808.92355,"1","medio"
"11742",18084,"Ligustro","01/08/2011 10:23","Muy bajo (1 - 2 mts)",20,"Chico",-68.840225285,-32.8684448768,4,"Cuarta Oeste",1173332.70145,"0","bajo"
"19893",30223,"Morera","10/03/2011 09:32","Alto (> 8 mts)",200,"Grande",-68.8432978614,-32.8910226448,2,"Barrio Civico",2366816.36021,"1","alto"
"12209",18784,"Morera","08/07/2011 13:08","Alto (> 8 mts)",136,"Grande",-68.8381339576,-32.8730348577,4,"Cuarta Oeste",1173332.70145,"0","medio"
"2470",3742,"Fresno europeo","25/08/2011 13:47","Medio (4 - 8 mts)",120,"Grande",-68.8197849091,-32.8702156774,4,"Cuarta Este Área Fundacional",1822015.85685,"0","medio"
"14209",21701,"Morera","09/06/2011 11:50","Alto (> 8 mts)",140,"Grande",-68.8570730436,-32.8957293873,5,"Residencial Sur",2423808.92355,"0","medio"
"31251",47417,"Morera","22/09/2011 10:13","Medio (4 - 8 mts)",138,"Grande",-68.8277434423,-32.8752878582,4,"Cuarta Este Área Fundacional",1822015.85685,"0","medio"
"6527",9958,"Paraiso","11/11/2010 13:56","Alto (> 8 mts)",110,"Grande",-68.855499269,-32.8692527469,6,"Residencial Norte",2694682.37982,"0","medio"
"17997",27414,"Fresno americano","25/10/2011 10:00","Alto (> 8 mts)",145,"Grande",-68.8356697588,-32.8924626793,3,"Parque O'Higgins",1531146.02653,"0","medio"
"20099",30533,"Pltano","04/04/2011 15:35","Alto (> 8 mts)",186,"Grande",-68.8394650601,-32.8883092851,3,"Parque O'Higgins",1531146.02653,"0","alto"
"8184",12464,"Morera","24/01/2011 14:00","Alto (> 8 mts)",190,"Grande",-68.848994949,-32.866558364,6,"Residencial Norte",2694682.37982,"1","alto"
"30694",46557,"Acer","05/09/2011 10:56","Muy bajo (1 - 2 mts)",14,"Chico",-68.8335221586,-32.8686653287,4,"Cuarta Oeste",1173332.70145,"0","bajo"
"28986",43933,"Acacia SP","12/10/2011 14:33","Alto (> 8 mts)",200,"Grande",-68.8324672433,-32.8838357398,3,"Parque O'Higgins",1531146.02653,"0","alto"
"3964",6104,"Fresno europeo","27/04/2011 12:42","Medio (4 - 8 mts)",22,"Mediano",-68.839791376,-32.8821765641,1,"Parque Central",1655357.93265,"0","bajo"
"30819",46742,"Acer","07/09/2011 10:38","Medio (4 - 8 mts)",80,"Grande",-68.833150425,-32.8702647277,4,"Cuarta Oeste",1173332.70145,"0","bajo"
"7350",11204,"Acer","25/01/2011 10:24","Alto (> 8 mts)",90,"Grande",-68.8455955301,-32.9019167606,2,"Barrio Civico",2366816.36021,"0","medio"
"10978",16939,"Morera","16/08/2011 13:21","Medio (4 - 8 mts)",200,"Grande",-68.83687258,-32.8651518887,4,"Cuarta Oeste",1173332.70145,"0","alto"
"9280",14217,"Morera","30/11/2011 11:32","Medio (4 - 8 mts)",120,"Grande",-68.8765965597,-32.8662130739,8,"Aeroparque",2203364.73622,"0","medio"
"9274",14208,"Paraiso sombrilla","30/11/2011 11:49","Medio (4 - 8 mts)",122,"Grande",-68.8767543809,-32.8667944462,8,"Aeroparque",2203364.73622,"0","medio"
"5548",8499,"Paraiso","15/02/2011 09:20","Alto (> 8 mts)",210,"Grande",-68.8350549613,-32.8968474508,2,"Barrio Civico",2366816.36021,"1","alto"
"2151",3251,"Paraiso sombrilla","28/09/2011 10:25","Medio (4 - 8 mts)",44,"Mediano",-68.8229398075,-32.8722660962,4,"Cuarta Este Área Fundacional",1822015.85685,"0","bajo"
"12502",19212,"Morera","06/07/2011 09:25","Medio (4 - 8 mts)",69,"Grande",-68.8387373253,-32.8726891296,4,"Cuarta Oeste",1173332.70145,"1","bajo"
"18183",27706,"Morera","02/11/2011 08:15","Alto (> 8 mts)",145,"Grande",-68.8368512919,-32.8955546995,2,"Barrio Civico",2366816.36021,"0","medio"
"24538",37137,"Fresno europeo","01/04/2011 12:03","Medio (4 - 8 mts)",100,"Grande",-68.8580139208,-32.8771576721,7,"Residencial Parque",1786336.08966,"0","medio"
"27154",41090,"Pltano","28/04/2011 12:16","Alto (> 8 mts)",178,"Grande",-68.8376551208,-32.8834899296,3,"Parque O'Higgins",1531146.02653,"0","alto"
"8613",13150,"Morera","18/02/2011 13:04","Medio (4 - 8 mts)",150,"Grande",-68.8466679818,-32.8645432982,4,"Cuarta Oeste",1173332.70145,"0","medio"
"17017",25923,"Paraiso","16/02/2011 16:51","Alto (> 8 mts)",88,"Grande",-68.8379000827,-32.9020951321,2,"Barrio Civico",2366816.36021,"0","medio"
"22440",34029,"Fresno europeo","27/05/2011 11:18","Bajo (2 - 4 mts)",26,"Mediano",-68.8547002786,-32.884161194,5,"Residencial Sur",2423808.92355,"0","bajo"
"7020",10716,"Fresno europeo","30/03/2011 12:57","Medio (4 - 8 mts)",46,"Mediano",-68.848614914,-32.8753355792,6,"Residencial Norte",2694682.37982,"0","bajo"
"4365",6701,"Prunas","11/05/2011 11:20","Bajo (2 - 4 mts)",40,"Mediano",-68.8540126916,-32.8948799486,5,"Residencial Sur",2423808.92355,"0","bajo"
"26628",40291,"Morera","11/04/2011 09:02","Medio (4 - 8 mts)",140,"Grande",-68.8449071219,-32.8807090251,1,"Parque Central",1655357.93265,"1","medio"
"31012",47041,"Paraiso","15/09/2011 10:05","Bajo (2 - 4 mts)",25,"Mediano",-68.8319485143,-32.8722286315,4,"Cuarta Este Área Fundacional",1822015.85685,"0","bajo"
"18961",28848,"Fresno americano","27/04/2011 09:21","Alto (> 8 mts)",80,"Grande",-68.8473031515,-32.8853962662,1,"Parque Central",1655357.93265,"0","bajo"
"10356",15978,"Perenne","10/08/2011 11:02","Alto (> 8 mts)",220,"Grande",-68.8438318745,-32.8717862116,4,"Cuarta Oeste",1173332.70145,"0","alto"
"5122",7837,"Fresno europeo","10/06/2011 10:15","Bajo (2 - 4 mts)",28,"Mediano",-68.8510545481,-32.8856574785,5,"Residencial Sur",2423808.92355,"0","bajo"
"24340",36853,"Fresno europeo","28/03/2011 16:37","Medio (4 - 8 mts)",28,"Mediano",-68.8573722096,-32.8795798824,7,"Residencial Parque",1786336.08966,"0","bajo"
"29712",45072,"Morera","31/08/2011 12:09","Alto (> 8 mts)",165,"Grande",-68.8219473244,-32.871159183,4,"Cuarta Este Área Fundacional",1822015.85685,"1","alto"
"20452",31065,"Fresno europeo","16/02/2011 12:36","Alto (> 8 mts)",55,"Mediano",-68.8552851801,-32.8653175015,6,"Residencial Norte",2694682.37982,"0","bajo"
"30466",46229,"Morera","29/09/2011 12:47","Bajo (2 - 4 mts)",20,"Chico",-68.8257426986,-32.8744079197,4,"Cuarta Este Área Fundacional",1822015.85685,"0","bajo"
"8708",13301,"Paraiso sombrilla","23/02/2011 09:40","Alto (> 8 mts)",160,"Grande",-68.8483214967,-32.8657220116,6,"Residencial Norte",2694682.37982,"0","medio"
"860",1323,"Paraiso sombrilla","29/11/2011 12:46","Medio (4 - 8 mts)",90,"Grande",-68.8779399523,-32.8646406021,8,"Aeroparque",2203364.73622,"0","medio"
"13999",21392,"Fresno europeo","11/05/2011 10:20","Alto (> 8 mts)",88,"Grande",-68.855044152,-32.8932178863,5,"Residencial Sur",2423808.92355,"0","medio"
"19003",28919,"Morera","28/02/2011 13:08","Alto (> 8 mts)",250,"Grande",-68.8466188769,-32.8871778812,1,"Parque Central",1655357.93265,"0","muy alto"
"29396",44594,"Pltano","19/10/2011 13:13","Alto (> 8 mts)",190,"Grande",-68.8353731562,-32.885900957,3,"Parque O'Higgins",1531146.02653,"0","alto"
"4625",7085,"Perenne","02/06/2011 13:23","Medio (4 - 8 mts)",320,"Grande",-68.8601223717,-32.8969608943,5,"Residencial Sur",2423808.92355,"0","muy alto"
"5173",7915,"Conifera","13/06/2011 15:14","Alto (> 8 mts)",126,"Grande",-68.8590632736,-32.8884926426,5,"Residencial Sur",2423808.92355,"0","medio"
"18905",28770,"Morera","20/04/2011 10:21","Alto (> 8 mts)",230,"Grande",-68.8489007675,-32.8863075632,1,"Parque Central",1655357.93265,"0","alto"
"8663",13233,"Paraiso","21/02/2011 12:25","Alto (> 8 mts)",106,"Grande",-68.8475532079,-32.865620362,6,"Residencial Norte",2694682.37982,"0","medio"
"12489",19190,"Paraiso","18/07/2011 09:40","Medio (4 - 8 mts)",110,"Grande",-68.8413123199,-32.8726584351,4,"Cuarta Oeste",1173332.70145,"0","medio"
"23119",35050,"Fresno americano","22/03/2011 13:07","Alto (> 8 mts)",60,"Mediano",-68.853644067,-32.8801643812,6,"Residencial Norte",2694682.37982,"0","bajo"
"27605",41779,"Morera","27/04/2011 10:40","Medio (4 - 8 mts)",150,"Grande",-68.8419984978,-32.8783352845,1,"Parque Central",1655357.93265,"0","medio"
"26519",40100,"Morera","15/04/2011 08:54","Medio (4 - 8 mts)",120,"Grande",-68.8449524767,-32.8802532755,1,"Parque Central",1655357.93265,"0","medio"
"29044",44026,"Pltano","19/10/2011 09:33","Alto (> 8 mts)",230,"Grande",-68.8315467928,-32.8850137806,3,"Parque O'Higgins",1531146.02653,"0","alto"
"22022",33422,"Fresno europeo","02/06/2011 13:57","Alto (> 8 mts)",60,"Mediano",-68.8569138989,-32.8885020808,5,"Residencial Sur",2423808.92355,"0","bajo"
"1164",1771,"Morera","25/11/2011 10:15","Medio (4 - 8 mts)",30,"Mediano",-68.8704596208,-32.8783969015,7,"Residencial Parque",1786336.08966,"0","bajo"
"18070",27535,"Fresno europeo","27/10/2011 08:37","Alto (> 8 mts)",125,"Grande",-68.8362570706,-32.8910668266,3,"Parque O'Higgins",1531146.02653,"0","medio"
"374",566,"Caducifolio","08/03/2012 11:18","Bajo (2 - 4 mts)",30,"Mediano",-68.8192272188,-32.8686808568,4,"Cuarta Este Área Fundacional",1822015.85685,"0","bajo"
"4835",7399,"Morera","02/06/2011 12:56","Alto (> 8 mts)",98,"Grande",-68.854211468,-32.9002390892,5,"Residencial Sur",2423808.92355,"0","medio"
"11467",17692,"Olmo comun","14/07/2011 13:01","Alto (> 8 mts)",185,"Grande",-68.8420682303,-32.8699241024,4,"Cuarta Oeste",1173332.70145,"0","alto"
"2559",3883,"Paraiso","01/09/2011 10:26","Medio (4 - 8 mts)",120,"Grande",-68.8255623005,-32.8711277278,4,"Cuarta Este Área Fundacional",1822015.85685,"0","medio"
"28062",42502,"Morera","30/09/2011 07:33","Alto (> 8 mts)",145,"Grande",-68.8315552536,-32.8753613978,4,"Cuarta Este Área Fundacional",1822015.85685,"1","medio"
"31723",48124,"Morera","17/08/2011 11:20","Alto (> 8 mts)",140,"Grande",-68.829713744,-32.8668696782,4,"Cuarta Este Área Fundacional",1822015.85685,"0","medio"
"19779",30063,"Morera","05/04/2011 09:25","Medio (4 - 8 mts)",72,"Grande",-68.8396202804,-32.8865995159,3,"Parque O'Higgins",1531146.02653,"0","bajo"
"23983",36327,"Morera","01/04/2011 13:02","Bajo (2 - 4 mts)",60,"Mediano",-68.8533181565,-32.8776245606,6,"Residencial Norte",2694682.37982,"0","bajo"
"23127",35059,"Fresno europeo","22/03/2011 12:49","Medio (4 - 8 mts)",57,"Mediano",-68.8541276372,-32.8798196698,6,"Residencial Norte",2694682.37982,"0","bajo"
"25108",37987,"Fresno europeo","10/01/2012 17:21","Muy bajo (1 - 2 mts)",4,"Chico",-68.8481715233,-32.8733403282,6,"Residencial Norte",2694682.37982,"0","bajo"
"19467",29587,"Morera","04/03/2011 09:05","Bajo (2 - 4 mts)",12,"Chico",-68.8438171978,-32.8920032553,2,"Barrio Civico",2366816.36021,"0","bajo"
"12843",19710,"Pltano","12/07/2011 09:22","Alto (> 8 mts)",190,"Grande",-68.8343027984,-32.8708333773,4,"Cuarta Oeste",1173332.70145,"0","alto"
"2602",3968,"Paraiso","26/09/2011 10:31","Alto (> 8 mts)",290,"Grande",-68.8278317652,-32.8778817471,4,"Cuarta Este Área Fundacional",1822015.85685,"0","muy alto"
"2390",3618,"Paraiso","29/08/2011 08:45","Medio (4 - 8 mts)",130,"Grande",-68.8271459506,-32.8689279629,4,"Cuarta Este Área Fundacional",1822015.85685,"0","medio"
"16244",24707,"Pltano","17/02/2011 12:08","Alto (> 8 mts)",200,"Grande",-68.8412438471,-32.8981571471,2,"Barrio Civico",2366816.36021,"0","alto"
"188",294,"Morera","05/03/2012 13:34","Alto (> 8 mts)",170,"Grande",-68.8225719873,-32.8677460403,4,"Cuarta Este Área Fundacional",1822015.85685,"0","alto"
"17338",26414,"Fresno europeo","28/10/2011 09:25","Alto (> 8 mts)",250,"Grande",-68.8339804289,-32.8887586094,3,"Parque O'Higgins",1531146.02653,"0","muy alto"
"14221",21718,"Morera","09/06/2011 11:08","Alto (> 8 mts)",100,"Grande",-68.8554613148,-32.8957843413,5,"Residencial Sur",2423808.92355,"1","medio"
"18899",28761,"Olmo comun","20/04/2011 10:53","Alto (> 8 mts)",200,"Grande",-68.8487086039,-32.8856241187,1,"Parque Central",1655357.93265,"0","alto"
"10997",16965,"Morera","16/08/2011 08:54","Muy bajo (1 - 2 mts)",12,"Chico",-68.8380746948,-32.8661856684,4,"Cuarta Oeste",1173332.70145,"0","bajo"
"17258",26300,"Fresno americano","21/10/2011 09:08","Alto (> 8 mts)",100,"Grande",-68.8322168543,-32.8888278916,3,"Parque O'Higgins",1531146.02653,"0","medio"
"940",1443,"Aguaribay","25/11/2011 09:41","Medio (4 - 8 mts)",100,"Grande",-68.8714995127,-32.8755415063,7,"Residencial Parque",1786336.08966,"0","medio"
"23621",35805,"Morera","04/03/2011 09:23","Alto (> 8 mts)",156,"Grande",-68.8536582273,-32.8742130401,6,"Residencial Norte",2694682.37982,"0","medio"
"1906",2896,"lamo blanco","08/09/2011 13:04","Alto (> 8 mts)",140,"Grande",-68.8318843453,-32.8708965855,4,"Cuarta Este Área Fundacional",1822015.85685,"0","medio"
"4491",6880,"Morera","07/06/2011 10:13","Medio (4 - 8 mts)",75,"Grande",-68.8589879314,-32.8950160434,5,"Residencial Sur",2423808.92355,"0","bajo"
"7009",10702,"Acacia SP","30/03/2011 12:43","Medio (4 - 8 mts)",120,"Grande",-68.8490543043,-32.8752653038,6,"Residencial Norte",2694682.37982,"0","medio"
"19890",30219,"Morera","10/03/2011 09:57","Alto (> 8 mts)",140,"Grande",-68.8432333698,-32.8903760098,2,"Barrio Civico",2366816.36021,"0","medio"
"2814",4320,"Fresno europeo","14/07/2011 08:51","Medio (4 - 8 mts)",45,"Mediano",-68.834882016,-32.8698788486,4,"Cuarta Oeste",1173332.70145,"0","bajo"
"12146",18693,"Morera","04/07/2011 11:26","Alto (> 8 mts)",145,"Grande",-68.8356129443,-32.8736407743,4,"Cuarta Oeste",1173332.70145,"1","medio"
"19185",29195,"Fresno americano","03/03/2011 09:29","Alto (> 8 mts)",148,"Grande",-68.8466025671,-32.888103567,2,"Barrio Civico",2366816.36021,"0","medio"
"1119",1704,"Paraiso","24/11/2011 12:18","Bajo (2 - 4 mts)",30,"Mediano",-68.872132015,-32.8785321713,7,"Residencial Parque",1786336.08966,"0","bajo"
"9626",14747,"Aguaribay","05/12/2011 11:16","Medio (4 - 8 mts)",70,"Grande",-68.8784147673,-32.8686489844,8,"Aeroparque",2203364.73622,"0","bajo"
"27067",40944,"Pltano","18/04/2011 15:41","Alto (> 8 mts)",98,"Grande",-68.8408684121,-32.8856763449,1,"Parque Central",1655357.93265,"0","medio"
"9913",15259,"lamo blanco","18/11/2011 16:47","Medio (4 - 8 mts)",60,"Mediano",-68.8590022013,-32.869894832,6,"Residencial Norte",2694682.37982,"0","bajo"
"3388",5200,"Caducifolio","08/08/2011 09:30","Bajo (2 - 4 mts)",40,"Mediano",-68.8392080712,-32.8694168508,4,"Cuarta Oeste",1173332.70145,"0","bajo"
"27203",41162,"Morera","18/04/2011 11:52","Alto (> 8 mts)",160,"Grande",-68.8381168031,-32.8808307154,1,"Parque Central",1655357.93265,"0","medio"
"14482",22114,"Fresno europeo","13/06/2011 12:51","Alto (> 8 mts)",140,"Grande",-68.8549832523,-32.8970220004,5,"Residencial Sur",2423808.92355,"0","medio"
"19875",30195,"Morera","09/03/2011 10:09","Alto (> 8 mts)",240,"Grande",-68.8428922345,-32.8889693216,2,"Barrio Civico",2366816.36021,"0","alto"
"29277",44398,"Pltano","18/10/2011 11:24","Alto (> 8 mts)",245,"Grande",-68.8378771122,-32.8851153375,3,"Parque O'Higgins",1531146.02653,"0","muy alto"
"8637",13186,"Paraiso sombrilla","21/02/2011 10:16","Bajo (2 - 4 mts)",64,"Grande",-68.8470051088,-32.8656371795,4,"Cuarta Oeste",1173332.70145,"0","bajo"
"19270",29318,"Fresno americano","22/02/2011 10:05","Alto (> 8 mts)",143,"Grande",-68.8433733885,-32.8886984519,2,"Barrio Civico",2366816.36021,"0","medio"
"3452",5299,"Acer","28/04/2011 13:23","Medio (4 - 8 mts)",70,"Grande",-68.8432002125,-32.8768144823,1,"Parque Central",1655357.93265,"0","bajo"
"27052",40926,"Fresno europeo","11/04/2011 16:06","Alto (> 8 mts)",102,"Grande",-68.8393963298,-32.8856501977,3,"Parque O'Higgins",1531146.02653,"0","medio"
"856",1317,"Aguaribay","30/11/2011 11:19","Bajo (2 - 4 mts)",66,"Grande",-68.8774548533,-32.8645566777,8,"Aeroparque",2203364.73622,"0","bajo"
"17175",26163,"Morera","14/11/2011 17:43","Alto (> 8 mts)",140,"Grande",-68.8292620809,-32.8868181698,3,"Parque O'Higgins",1531146.02653,"1","medio"
"27311",41323,"Pltano","19/04/2011 11:50","Alto (> 8 mts)",175,"Grande",-68.8409823406,-32.8834335257,1,"Parque Central",1655357.93265,"0","alto"
"16094",24476,"Morera","19/01/2011 13:11","Alto (> 8 mts)",120,"Grande",-68.8464160154,-32.9035619077,2,"Barrio Civico",2366816.36021,"0","medio"
"5329",8149,"Pltano","02/03/2011 11:14","Alto (> 8 mts)",125,"Grande",-68.845523024,-32.8917137086,2,"Barrio Civico",2366816.36021,"0","medio"
"857",1318,"Aguaribay","30/11/2011 11:12","Bajo (2 - 4 mts)",66,"Grande",-68.8777721766,-32.8644955827,8,"Aeroparque",2203364.73622,"0","bajo"
